category,name,area,address,maps_link,delivery_apps,zomato_search,swiggy_search,rating,reviews,lat,lon,place_id
restaurants,Spicy Dice,area4,"6/826/A/54, 13/6/826/A/54, Moghal Nagar, Karwan West, Karwan, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJM95wBgCXyzsRHX0onNZh5Ik,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Spicy%20Dice,https://www.swiggy.com/search?query=Spicy%20Dice,5,20,17.374704,78.430152,ChIJM95wBgCXyzsRHX0onNZh5Ik
restaurants,Sree Sai Curry Point,area4,"Amma House, 456, Gudi Malkapur Road, Gudi Malkapur, Mehdipatnam, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJtTlAmQWXyzsRa_x6lTz60n4,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sree%20Sai%20Curry%20Point,https://www.swiggy.com/search?query=Sree%20Sai%20Curry%20Point,,,17.387005,78.439943,ChIJtTlAmQWXyzsRa_x6lTz60n4
restaurants,Sree Venkateshwara Home Made Foods,area4,"opp. to Market, Gudi Malkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJV1KBNaqXyzsR3GhIyWppwvg,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sree%20Venkateshwara%20Home%20Made%20Foods,https://www.swiggy.com/search?query=Sree%20Venkateshwara%20Home%20Made%20Foods,3,5,17.383977,78.438666,ChIJV1KBNaqXyzsR3GhIyWppwvg
restaurants,Sri Balaji Family Dhaba,area4,"12-2-417/46/9 Shardanagar Murad Nagar Rd Shardha Nagar Colony, Gudi Malkapur, Mehdipatnam, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJdR5ZRQaXyzsRZrkOwvqonQs,Possibly on Zomato/Swiggy (100+ Google reviews) - verify,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Balaji%20Family%20Dhaba,https://www.swiggy.com/search?query=Sri%20Balaji%20Family%20Dhaba,3.9,1078,17.382431,78.438994,ChIJdR5ZRQaXyzsRZrkOwvqonQs
restaurants,Sri Balaji Food Court,area4,"12-2-823/A/85, 1, Mehdipatnam Road, Amba Gardens, Gudimalkapur, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJ5_2ijESXyzsRcalGSOylpSg,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Balaji%20Food%20Court,https://www.swiggy.com/search?query=Sri%20Balaji%20Food%20Court,3.6,72,17.39042,78.436959,ChIJ5_2ijESXyzsRcalGSOylpSg
restaurants,Sri Bhavani Trader,area4,"opp. Khan Banquet Hall, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJW0kmmlaXyzsRcbiyFBYG96o,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Bhavani%20Trader,https://www.swiggy.com/search?query=Sri%20Bhavani%20Trader,3,2,17.376725,78.429817,ChIJW0kmmlaXyzsRcbiyFBYG96o
restaurants,Sri Durga Bhavani Ginger Paste,area4,"opp. Great Enterprises, Said Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJn76Ku-eXyzsRxKonscWZyKY,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Durga%20Bhavani%20Ginger%20Paste,https://www.swiggy.com/search?query=Sri%20Durga%20Bhavani%20Ginger%20Paste,,,17.386793,78.449991,ChIJn76Ku-eXyzsRxKonscWZyKY
restaurants,Sri Foods and Tea Stall,area4,"Pillar No 92, Sri Foods And Tea Stall Attapur, opp. to Banquet Hall, Inner Ring Road, Netaji Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJZ2NVh96XyzsRiHGycv9cpJQ,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Foods%20and%20Tea%20Stall,https://www.swiggy.com/search?query=Sri%20Foods%20and%20Tea%20Stall,,,17.385684,78.438613,ChIJZ2NVh96XyzsRiHGycv9cpJQ
restaurants,Sri Ganesh Chat Bhandar,area4,"Gudi Malkapur Road, Viswash Nagar, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJubyMD6uXyzsR38EFuTlm1N0,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Ganesh%20Chat%20Bhandar,https://www.swiggy.com/search?query=Sri%20Ganesh%20Chat%20Bhandar,5,3,17.389506,78.440168,ChIJubyMD6uXyzsR38EFuTlm1N0
restaurants,Sri Gayatri Bhavan,area4,"Shop No 1, Road, X Road, Jumeraat Bazaar, Puranapull, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJkbjl1A2XyzsRC6tFSV-RLEU,Possibly listed - verify via Zomato/Swiggy search links,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Gayatri%20Bhavan,https://www.swiggy.com/search?query=Sri%20Gayatri%20Bhavan,3.3,69,17.369662,78.458656,ChIJkbjl1A2XyzsRC6tFSV-RLEU
restaurants,SRI KRISHNA BHAVAN,area4,India,https://www.google.com/maps/place/?q=place_id:ChIJI2GsjQeXyzsRaHXwD9hpiI4,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20KRISHNA%20BHAVAN,https://www.swiggy.com/search?query=SRI%20KRISHNA%20BHAVAN,4.5,2,17.379251,78.439464,ChIJI2GsjQeXyzsRaHXwD9hpiI4
restaurants,SRI Nandi foodcourt,area4,"beside WIFI restaurant, Pillar no : 95, Attapur ringroad, beside WIFI restaurant, Hyderabad",https://www.google.com/maps/place/?q=place_id:ChIJoxhCOH-XyzsRZD978a3JBw8,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=SRI%20Nandi%20foodcourt,https://www.swiggy.com/search?query=SRI%20Nandi%20foodcourt,5,1,17.379058,78.429412,ChIJoxhCOH-XyzsRZD978a3JBw8
restaurants,Sri Nandi Grand,area4,India,https://www.google.com/maps/place/?q=place_id:ChIJZ5Wj4QGXyzsRiaZKATgBaho,Unknown - verify on Zomato/Swiggy,https://www.zomato.com/hyderabad/restaurants?q=Sri%20Nandi%20Grand,https://www.swiggy.com/search?query=Sri%20Nandi%20Grand,5,1,17.382756,78.429868,ChIJZ5Wj4QGXyzsRiaZKATgBaho
