# FASTFOODS inside My Map circle (area1–area5)
# total=264
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
AR Fast Food	area3	Shop No 04, opposite Tauheed Chichen Centre, MD Lines, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJz8TXTByXyzsRQIiy8f3i8WM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AR%20Fast%20Food	https://www.swiggy.com/search?query=AR%20Fast%20Food		
Burger byte	area3	SIDDIQUE GULSHAN, 9-3-58/A, near GOVERNMENT SCHOOL, C/18B, Karwan Circle, Afsar Khan Colony, No 13, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ0RsWAmKXyzsR31ymjKI0wVM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Burger%20byte	https://www.swiggy.com/search?query=Burger%20byte		
BURGER LICIOUS	area3	9CH5+2C8 ZEE N CAFE HOTEL LANE TAKE 10 RIGHT, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJJSWvDH2XyzsRYRdPW9wn4lg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=BURGER%20LICIOUS	https://www.swiggy.com/search?query=BURGER%20LICIOUS	3.8	6
Dadas FIN & FAST FOOD	area3	9CR2+X2G, Fort Road, Qutub Shahi Tombs, Alijapur	https://www.google.com/maps/place/?q=place_id:ChIJNX_RQZGWyzsR-5-JlK8fRIY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Dadas%20FIN%20%26%20FAST%20FOOD	https://www.swiggy.com/search?query=Dadas%20FIN%20%26%20FAST%20FOOD		
Delicious Chat Point	area3	9-11-2/A/1 Fateh Darwaza, Golconda Fort, Moti Darwaza Road, Toli Chowki, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJeb_GFEeXyzsRLXy1evHlysA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Delicious%20Chat%20Point	https://www.swiggy.com/search?query=Delicious%20Chat%20Point	5	3
Domino's Pizza	area3	G.F, Appa Junction, opposite Sun city, Plot No.76, Rajendranagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJgRrM1O2WyzsR2xGeB0r9K-M	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Domino%27s%20Pizza	https://www.swiggy.com/search?query=Domino%27s%20Pizza	5	1
ELITE FAST FOOD	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJo_WkTpKWyzsRdKh8DXzIzBc	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ELITE%20FAST%20FOOD	https://www.swiggy.com/search?query=ELITE%20FAST%20FOOD		
FAMOUS SHAWARMA	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJBUZNiYyWyzsRuMx9DuzvtEI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=FAMOUS%20SHAWARMA	https://www.swiggy.com/search?query=FAMOUS%20SHAWARMA	3	1
ghar ka zaika	area3	Langar Houz, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJlXE2HfCXyzsRy5MgKbKr5i0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ghar%20ka%20zaika	https://www.swiggy.com/search?query=ghar%20ka%20zaika		
Golconda Fish Land	area3	Golkonda, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJhWoCioyWyzsRlznY3H_Uoq4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Golconda%20Fish%20Land	https://www.swiggy.com/search?query=Golconda%20Fish%20Land	3.7	14
