# SWEETS inside My Map circle (area1–area5)
# total=111
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
Mk Pathan Ice Cream & Cool Drinks Point	area3	9CP5+249, Moti Darwaza Road, Kirti Nagar, Bada Bazar, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJBSpWJPOWyzsR7_m6zubzphA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Mk%20Pathan%20Ice%20Cream%20%26%20Cool%20Drinks%20Point	https://www.swiggy.com/search?query=Mk%20Pathan%20Ice%20Cream%20%26%20Cool%20Drinks%20Point	1	1
NIZAR VIRANI.FAST FOOD .ICE CREAM .COOL.DRINGS	area3	S.no.13-6-437/A/36/2,, Near flour mill,Langar House Road, nana nagar,, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJNz19eOOWyzsR1HHAprwCidw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=NIZAR%20VIRANI.FAST%20FOOD%20.ICE%20CREAM%20.COOL.DRINGS	https://www.swiggy.com/search?query=NIZAR%20VIRANI.FAST%20FOOD%20.ICE%20CREAM%20.COOL.DRINGS	4.4	20
Omer Ice Cream Parlour	area3	9CH5+FQW, Saleh Nagar Main Road, Saleh Nagar, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJQZADDPWWyzsRI-T67WcWgAY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Omer%20Ice%20Cream%20Parlour	https://www.swiggy.com/search?query=Omer%20Ice%20Cream%20Parlour		
ROYAL SWEETS & NAMKEEN	area3	9CQ4+64G, Rethi Galli, Resala Bazar, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ3XwYYY2WyzsRqE-DUGkoi3M	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ROYAL%20SWEETS%20%26%20NAMKEEN	https://www.swiggy.com/search?query=ROYAL%20SWEETS%20%26%20NAMKEEN	5	1
Scoops Ice Cream	area3	Shop No 9, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJJz8jz4yWyzsR01tXduXgGe0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Scoops%20Ice%20Cream	https://www.swiggy.com/search?query=Scoops%20Ice%20Cream	5	2
AL RAYYAN BAKERY AND CONFECTIONERY	area4	12-2-338/A/4 Murad Nagar Hyderabad infront of Majid-e-Qutub shahi (choti masjid, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ431Dyd6XyzsRp6VH3RqG6do	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AL%20RAYYAN%20BAKERY%20AND%20CONFECTIONERY	https://www.swiggy.com/search?query=AL%20RAYYAN%20BAKERY%20AND%20CONFECTIONERY	5	1
Annamalaiya sweet and Bakery	area4	9CVH+MP3, Pochampally Road, P&T Colony, Nanal Nagar, Gudimalkapur, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJpVoFQQCXyzsRIOXBjLJz0fI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Annamalaiya%20sweet%20and%20Bakery	https://www.swiggy.com/search?query=Annamalaiya%20sweet%20and%20Bakery		
Asif Sweet and Bakery	area4	Tappa Chabutra Road, Sarwar Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJJcF_p6CXyzsRMNFv9albo0Y	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Asif%20Sweet%20and%20Bakery	https://www.swiggy.com/search?query=Asif%20Sweet%20and%20Bakery	4.3	140
Balaji Sweet Shop	area4	Gudi Malkapur Rd, Sai Gardens, Gudi Malkapur, Syed Ali Guda, Hyderabad, Telangana 500006, India	https://www.google.com/maps/place/?q=place_id:ChIJowwzlQWXyzsRgFbpENDHEwg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Balaji%20Sweet%20Shop	https://www.swiggy.com/search?query=Balaji%20Sweet%20Shop	3.7	23
Bhagyalaxmi Sweets & Confectionery	area4	sahu post office, behind Karwan Road, 13-2-975, Puranapool, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ_TkGPp-XyzsR6BMfguiNSpA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Bhagyalaxmi%20Sweets%20%26%20Confectionery	https://www.swiggy.com/search?query=Bhagyalaxmi%20Sweets%20%26%20Confectionery	5	3
