# RESTAURANTS inside My Map circle (area1–area5)
# total=1769
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
Farsi Flame	area1	8-54/42, Sai Harsha Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJgz0MRkyXyzsR-gZkKxnnQHA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Farsi%20Flame	https://www.swiggy.com/search?query=Farsi%20Flame	5	1
Femous Chicken Market	area1	Unnamed Road, Ramdev Guda, Ibrahim Bagh, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJK4RETH2WyzsRee4-YFY9YvU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Femous%20Chicken%20Market	https://www.swiggy.com/search?query=Femous%20Chicken%20Market	4.6	16
Foodskillet	area1	Thothingal Palace, 302, West End Colony, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJm1TtuBmXyzsRLd_jCBK1PmM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Foodskillet	https://www.swiggy.com/search?query=Foodskillet		
Friends Restaurant	area1	shop no -1,2,3, Tea Time, near kkr ground, Gandamguda	https://www.google.com/maps/place/?q=place_id:ChIJD5gFUguXyzsRQny3T2St3jQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Friends%20Restaurant	https://www.swiggy.com/search?query=Friends%20Restaurant	3.5	2
Fussion Food court	area1	2/3A, 8, Kapila Nagar Colony, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJqSJLYACXyzsRurZxoIrKvbo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Fussion%20Food%20court	https://www.swiggy.com/search?query=Fussion%20Food%20court	4.5	29
Genesis Andhra Ruchulu Suncity	area1	Genesis Andhra Ruchulu, Bhagya Nagar Colony, Hydershakote, suncity	https://www.google.com/maps/place/?q=place_id:ChIJ7XA1PQCXyzsR0r42BdPgI1Y	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Genesis%20Andhra%20Ruchulu%20Suncity	https://www.swiggy.com/search?query=Genesis%20Andhra%20Ruchulu%20Suncity		
Gokul's kitchen	area1	plot no.5, Kapilanagar colony, SPM School lane, hydreshakote, Main Rd, Kapila Nagar Colony, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ_eo2dgCXyzsR8tK2qUv6A2M	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Gokul%27s%20kitchen	https://www.swiggy.com/search?query=Gokul%27s%20kitchen	3.1	8
Golden Dragon Restaurant	area1	Shop No 451/1, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJsWnG2_GXyzsRv1a9v8dXr_U	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Golden%20Dragon%20Restaurant	https://www.swiggy.com/search?query=Golden%20Dragon%20Restaurant		
GOOD HEALTH POULTRY COMPANY OUTLET	area1	Gayathri Nagar Colony, Sai Harsha Nagar, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJa8j9fe6XyzsRI8XWkimWl1w	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=GOOD%20HEALTH%20POULTRY%20COMPANY%20OUTLET	https://www.swiggy.com/search?query=GOOD%20HEALTH%20POULTRY%20COMPANY%20OUTLET	4.1	146
Hanu Management services HMS	area1	Shop No 1 , Street no 1, Anjanadri Sadan Opp To Hanuman Sametha Sivapayam Radhanagar, Sun City, Bandlaguda jagir, Hyderabad 500086, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJLwZrv9SXyzsRjC6EtjczX-o	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Hanu%20Management%20services%20HMS	https://www.swiggy.com/search?query=Hanu%20Management%20services%20HMS		
